,participant,GT,GS
435,606b7563e1dff50acdb8ab1f,False,False
436,606b7a47e1dff50acdb8ac03,True,True
437,606bed1de1dff50acdb8e41b,True,False
438,606c141be1dff50acdb8e4a4,False,True
439,606c48eae1dff50acdb8ec4d,False,False
440,606c6909e1dff50acdb8ecd9,True,True
441,606c6abae1dff50acdb8ecf4,True,False
442,606c6ad1e1dff50acdb8ecf8,False,True
443,606c6e52e1dff50acdb8ed41,False,False
444,606c7099e1dff50acdb8ed5d,True,True
445,606c70d0e1dff50acdb8ed6e,True,False
446,606c70d8e1dff50acdb8ed72,False,True
447,606c70dbe1dff50acdb8ed76,False,False
448,606c70e2e1dff50acdb8ed79,True,True
449,606c71e1e1dff50acdb8ede1,True,False
450,606c71f7e1dff50acdb8ede5,False,True
451,606c72b1e1dff50acdb8ef34,False,False
452,606c730de1dff50acdb8efd0,True,True
453,606c7313e1dff50acdb8efd4,True,False
454,606c7441e1dff50acdb8f2a1,False,True
455,606c7619e1dff50acdb8fb02,False,False
456,606c8fc3e1dff50acdb934b7,True,True
457,606c993fe1dff50acdb94232,True,False
458,606c9965e1dff50acdb94283,False,True
459,606d90f7e1dff50acdb9545a,False,False
460,606dcf3ce1dff50acdb976ad,True,True
461,606ef081e1dff50acdb9adf8,True,False
462,606f05f3e1dff50acdb9b10a,False,True
463,606f7a33e1dff50acdb9bb53,False,False
464,606f8d92e1dff50acdb9bdb3,True,True
465,60703a6be1dff50acdb9be60,True,False
466,60705318e1dff50acdb9be8b,False,True
467,6070759be1dff50acdb9bf38,False,False
468,607161e8e1dff50acdb9c3c2,True,True
469,60716c5ce1dff50acdb9c3e6,True,False
470,6071c659e1dff50acdb9c446,False,True
471,6071f2eee1dff50acdb9c63e,False,False
472,6072b49ae1dff50acdb9cca4,True,True
473,6072f6f6e1dff50acdb9d1c6,True,False
474,607314dce1dff50acdb9d355,False,True
475,6074c9b3e1dff50acdb9e161,False,False
476,6074ca0ce1dff50acdb9e164,True,True
477,60754804e1dff50acdb9e264,True,False
478,607594e5e1dff50acdb9e280,False,True
479,6078922ae1dff50acdba00e4,False,False
480,60795988e1dff50acdba0100,True,True
481,6079aa99e1dff50acdba0324,True,False
482,6079ae18e1dff50acdba03d5,False,True
483,607a4143e1dff50acdba0b05,False,False
484,607aa39ee1dff50acdba0b12,True,True
485,607bf57ae1dff50acdba0b27,True,False
486,607c3449e1dff50acdba0b30,False,True
487,607c6535e1dff50acdba0b81,False,False
488,607cb5a5e1dff50acdba0c94,True,True
489,607d3d84e1dff50acdba0ca2,True,False
490,607dbfe1e1dff50acdba14c9,False,True
491,607e8f45e1dff50acdba1541,False,False
492,6080076ae1dff50acdba1ba5,True,True
493,608067d4e1dff50acdba29cd,True,False
494,60806cf2e1dff50acdba2a77,False,True
495,6080bd8ce1dff50acdba2b64,False,False
496,6083ef86e1dff50acdba3e43,True,True
497,608583bae1dff50acdba3eeb,True,False
498,608720dae1dff50acdba42f7,False,True
499,6088c26ce1dff50acdba476e,False,False
500,60891dd5e1dff50acdba4788,True,True
501,6089e486e1dff50acdba480c,True,False
502,6089e544e1dff50acdba4813,False,True
503,6089fe86e1dff50acdba4817,False,False
504,608a092ce1dff50acdba4823,True,True
505,608b230ce1dff50acdba48d3,True,False
506,608bec4ce1dff50acdba493c,False,True
507,608c956fe1dff50acdba4958,False,False
508,608c9d49e1dff50acdba4969,True,True
509,608d0830e1dff50acdba4a76,True,False
510,608d1576e1dff50acdba4c47,False,True
511,608d41b3e1dff50acdba68b2,False,False
512,6091ae07e1dff50acdba9730,True,True
513,6091ee3be1dff50acdba9b9c,True,False
514,609264d4e1dff50acdba9bf0,False,True
515,60926c8ce1dff50acdba9caf,False,False
516,6092d3e0e1dff50acdba9d03,True,True
517,6092e500e1dff50acdbaa5fd,True,False
518,6093dea9e1dff50acdbac132,False,True
519,60942f10e1dff50acdbac164,False,False
520,60943504e1dff50acdbac18e,True,True
521,6095cc43d35efd0ab8825574,True,False
522,6095cf81d35efd0ab88255cd,False,True
523,60962a3dd35efd0ab8825803,False,False
524,609910d0d35efd0ab8825823,True,True
525,6099392ad35efd0ab8825886,True,False
526,609943b2d35efd0ab88258df,False,True
527,609acc29d35efd0ab8825aec,False,False
528,609acceed35efd0ab8825af6,True,True
529,609ae9bdd35efd0ab8825afc,True,False
530,609aff10d35efd0ab8825b01,False,True
531,609cbf9cd35efd0ab8825e86,False,False
532,609d46f3d35efd0ab8825efd,True,True
533,609e2e67d35efd0ab8825f61,True,False
534,609f7d3fd35efd0ab8825f94,False,True
535,609fdad9d35efd0ab8825fae,False,False
536,60a00c38d35efd0ab8825ffd,True,True
537,60a078aed35efd0ab8826010,True,False
538,60a09f86d35efd0ab882615a,False,True
539,60a0ea59d35efd0ab882615f,False,False
540,60a123d8d35efd0ab8826169,True,True
541,60a15dc3d35efd0ab882623a,True,False
542,60a59b23d35efd0ab88262be,False,True
543,60a91d26d35efd0ab882663d,False,False
544,60a9808bd35efd0ab882679c,True,True
545,60ad2545d35efd0ab8826a9d,True,False
546,60afa7e2d35efd0ab8826e25,False,True
547,60b1882bd35efd0ab8827351,False,False
548,60b29329d35efd0ab8827377,True,True
549,60b38a7cd35efd0ab8827383,True,False
550,60b3e4efd35efd0ab882738d,False,True
551,60b3f5a7d35efd0ab882739e,False,False
552,60b438bad35efd0ab8827d95,True,True
553,60b5a1fcd35efd0ab88285c8,True,False
