,participant,qid,startTime,endTime,duration,deducted,to_deduct
41,60106245db5b643e9ca0542f,restructure1,2021-02-01T17:04:05.381Z,2021-02-01T17:14:22.405Z,617.024,"[['2021-02-01T17:09:10.173Z', '2021-02-01T17:12:36.8Z']]",206.627
42,60106245db5b643e9ca0542f,restructure2,2021-02-01T17:14:22.507Z,2021-02-01T17:17:35.317Z,192.81,[],0.0
43,60185e4ef8a80c12afba1014,create1,2021-02-01T20:14:18.417Z,2021-02-01T20:18:40.651Z,262.23400000000004,[],0.0
44,60185e4ef8a80c12afba1014,create2,2021-02-01T20:18:40.733Z,2021-02-01T20:19:56.741Z,76.00800000000001,[],0.0
45,60185e4ef8a80c12afba1014,access1,2021-02-01T20:37:25.461Z,2021-02-01T20:40:09.633Z,164.172,[],0.0
46,60185e4ef8a80c12afba1014,access2,2021-02-01T20:40:09.707Z,2021-02-01T20:43:59.985Z,230.27800000000002,[],0.0
47,60185e4ef8a80c12afba1014,calculate1,2021-02-01T21:04:27.373Z,2021-02-01T21:06:22.963Z,115.59,[],0.0
48,60185e4ef8a80c12afba1014,calculate2,2021-02-01T21:06:22.984Z,2021-02-01T21:09:53.151Z,210.167,"[['2021-02-01T21:06:30.769Z', '2021-02-01T21:07:30.815Z']]",60.046
49,60185e4ef8a80c12afba1014,combine1,2021-02-01T21:13:38.672Z,2021-02-01T21:14:50.232Z,71.56,[],0.0
50,60185e4ef8a80c12afba1014,restructure1,2021-02-01T21:18:58.415Z,2021-02-01T21:24:26.76Z,328.345,[],0.0
51,60185e4ef8a80c12afba1014,restructure2,2021-02-01T21:24:26.831Z,2021-02-01T21:26:01.833Z,95.00200000000001,[],0.0
52,6018f3a9f8a80c12afba217e,create1,2021-02-02T06:55:58.034Z,2021-02-02T07:02:33.779Z,395.745,[],0.0
53,6018f56af8a80c12afba21e0,create1,2021-02-02T07:00:55.81Z,2021-02-02T07:04:33.213Z,217.40300000000002,[],0.0
