,participant,part,enjoyment,effort,motivation,worthwhile,concent,subgoals,hints,subgoalGraphics,thumbnailGraphics,other,timestamp,harderOrEasier,future
40,60192601f8a80c12afba8aa9,1,3.0,3.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,,2021-02-02T11:00:53.466Z,,
41,6019268bf8a80c12afba8d22,1,2.0,5.0,1.0,1.0,3.0,2.0,4.0,,,,2021-02-02T11:02:10.929Z,,
42,6018f723f8a80c12afba2369,1,4.0,2.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0,,2021-02-02T11:02:48.656Z,,
43,60192845f8a80c12afba9525,1,3.0,2.0,2.0,4.0,3.0,2.0,4.0,3.0,4.0,,2021-02-02T11:03:51.37Z,,
44,6018fd31f8a80c12afba2cf5,1,3.0,2.0,3.0,,4.0,1.0,3.0,,,,2021-02-02T11:03:54.295Z,,
45,6018f697f8a80c12afba2235,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,,2021-02-02T11:04:26.691Z,,
46,601925eff8a80c12afba8a91,1,2.0,3.0,,2.0,2.0,4.0,5.0,,5.0,,2021-02-02T11:05:16.093Z,,
47,6018f56af8a80c12afba21e0,2,5.0,4.0,4.0,5.0,5.0,,,,,Very engaging! ,2021-02-02T11:06:13.362Z,,
48,60190c05f8a80c12afba4a8f,2,,,,,,,,,,,2021-02-02T11:06:51.654Z,,
49,601928dff8a80c12afba988d,1,4.0,3.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,,2021-02-02T11:07:16.355Z,,
50,601924edf8a80c12afba861d,1,3.0,3.0,3.0,4.0,5.0,5.0,5.0,,5.0,"I found this exercise tricky but all the hints and pointers led me in the right direction, and I think with practise, it could become a learned skill.",2021-02-02T11:07:40.539Z,,
51,601928eef8a80c12afba98e0,1,2.0,2.0,2.0,,2.0,2.0,3.0,,3.0,,2021-02-02T11:08:08.042Z,,
