,participant,qid,nr_attempts,nr_subgoals,nr_attempts_per_subgoal
85,601c019af8a80c12afbe1a13,access1,4,3,1.3333333333333333
86,601c01a9f8a80c12afbe1a26,access1,2,3,0.6666666666666666
87,601c0246f8a80c12afbe1b2d,access1,4,3,1.3333333333333333
88,601c025ef8a80c12afbe1b80,access1,1,3,0.3333333333333333
89,601c0284f8a80c12afbe1c4d,access1,49,3,16.333333333333332
90,601c02a8f8a80c12afbe1c99,access1,10,3,3.3333333333333335
91,601c02c4f8a80c12afbe1d5d,access1,2,3,0.6666666666666666
92,601c030cf8a80c12afbe1e3f,access1,93,3,31.0
93,601d6caaa6af0b0a8bd1badb,access1,4,3,1.3333333333333333
94,601f3546a6af0b0a8bd1e5fd,access1,1,3,0.3333333333333333
95,6027df88a6af0b0a8bd31fcc,access1,11,3,3.6666666666666665
96,602a3ccea6af0b0a8bd3716d,access1,12,3,4.0
97,602ee3d9a6af0b0a8bd3b607,access1,1,3,0.3333333333333333
98,602fae39a6af0b0a8bd3dbfc,access1,2,3,0.6666666666666666
99,60311173a6af0b0a8bd3ff53,access1,17,3,5.666666666666667
100,6032151aa6af0b0a8bd41497,access1,1,3,0.3333333333333333
101,603648baa6af0b0a8bd4631e,access1,4,3,1.3333333333333333
102,60390376a6af0b0a8bd49f38,access1,1,3,0.3333333333333333
103,603a8e8ba6af0b0a8bd4c64e,access1,4,3,1.3333333333333333
104,603d7455a6af0b0a8bd53507,access1,1,3,0.3333333333333333
105,604243eaba869b0aa718df97,access1,1,3,0.3333333333333333
106,604844e2ba869b0aa718e77a,access1,15,3,5.0
107,604c3e10ba869b0aa718f3e2,access1,1,3,0.3333333333333333
108,604c56b5ba869b0aa718f41e,access1,2,3,0.6666666666666666
109,604c8482ba869b0aa71912a0,access1,1,3,0.3333333333333333
110,604caa6fba869b0aa7193514,access1,13,3,4.333333333333333
111,604ccd32ba869b0aa71946ce,access1,5,3,1.6666666666666667
112,604ce667ba869b0aa7194ebe,access1,19,3,6.333333333333333
113,604cf57bba869b0aa719567b,access1,2,3,0.6666666666666666
114,604d966cba869b0aa7198348,access1,3,3,1.0
115,604da99bba869b0aa7198807,access1,44,3,14.666666666666666
116,604dad56ba869b0aa7198ae2,access1,2,3,0.6666666666666666
117,604db12eba869b0aa71990ab,access1,3,3,1.0
