,participant,gender,reason,language,english,excel,visual,r,python,timestamp
62,6019105cf8a80c12afba53d7,male,ebook,python,2,3,2,2,3,2021-02-02T08:43:29.721Z
63,6019112df8a80c12afba553a,male,ebook,python,2,4,2,2,4,2021-02-02T08:46:45.158Z
64,60191b55f8a80c12afba6660,male,partofcourse,python,2,2,5,0,2,2021-02-02T09:29:56.472Z
65,60191b2af8a80c12afba6602,male,partofcourse,python,2,3,2,1,3,2021-02-02T09:31:26.951Z
66,6019238ff8a80c12afba7fc0,male,partofcourse,python,0,0,0,0,0,2021-02-02T10:06:04.604Z
67,6019249ff8a80c12afba840b,male,partofcourse,python,5,2,3,0,3,2021-02-02T10:09:56.785Z
68,601924caf8a80c12afba853f,female,curiosity,python,2,3,3,2,3,2021-02-02T10:10:22.048Z
69,601924e3f8a80c12afba85d6,female,partofcourse,python,5,3,5,1,0,2021-02-02T10:10:31.789Z
70,601924f2f8a80c12afba8654,female,curiosity,python,5,4,2,0,0,2021-02-02T10:10:43.115Z
71,601924edf8a80c12afba861d,female,partofcourse,python,5,3,3,1,1,2021-02-02T10:11:09.985Z
72,60192506f8a80c12afba8709,female,partofcourse,python,3,4,3,1,3,2021-02-02T10:11:31.095Z
73,6019252af8a80c12afba8755,female,partofcourse,python,4,3,3,1,0,2021-02-02T10:12:12.529Z
74,60192601f8a80c12afba8aa9,female,research,python,5,3,5,2,1,2021-02-02T10:16:11.943Z
75,601925def8a80c12afba8a6a,female,partofcourse,python,5,2,5,1,0,2021-02-02T10:16:23.802Z
76,601925c8f8a80c12afba89d6,female,partofcourse,python,5,3,4,3,1,2021-02-02T10:16:26.751Z
77,60192610f8a80c12afba8ad7,female,jobsearch,python,5,3,5,1,1,2021-02-02T10:17:09.778Z
78,60192531f8a80c12afba8766,male,partofcourse,python,2,2,5,1,1,2021-02-02T10:17:12.747Z
79,601925eff8a80c12afba8a91,female,curiosity,python,5,2,4,3,1,2021-02-02T10:17:17.053Z
80,60192582f8a80c12afba892c,male,curiosity,python,4,3,4,1,0,2021-02-02T10:17:26.19Z
81,6019268bf8a80c12afba8d22,female,partofcourse,python,5,2,5,1,1,2021-02-02T10:17:57.121Z
82,601926a6f8a80c12afba8dda,male,partofcourse,python,5,3,4,2,1,2021-02-02T10:19:22.125Z
83,601926c6f8a80c12afba8eaa,female,curiosity,python,4,4,5,1,1,2021-02-02T10:19:25.075Z
84,60192601f8a80c12afba8aaa,female,research,python,2,4,3,1,3,2021-02-02T10:22:02.37Z
85,60192799f8a80c12afba9199,male,partofcourse,r,5,3,4,3,1,2021-02-02T10:22:15.951Z
86,6019275ff8a80c12afba906a,male,partofcourse,python,2,5,0,1,3,2021-02-02T10:22:40.055Z
87,601927c8f8a80c12afba9261,male,partofcourse,python,5,2,0,0,0,2021-02-02T10:22:47.632Z
88,601927cbf8a80c12afba9277,female,jobsearch,python,5,1,2,0,0,2021-02-02T10:22:49.026Z
89,601927dbf8a80c12afba9299,male,project,python,4,3,2,2,3,2021-02-02T10:23:15.044Z
90,601927d2f8a80c12afba9286,male,partofcourse,python,5,3,2,2,1,2021-02-02T10:23:17.811Z
91,6019281bf8a80c12afba93fa,female,partofcourse,python,4,3,2,1,1,2021-02-02T10:25:25.068Z
92,60192845f8a80c12afba9525,male,partofcourse,python,0,3,3,0,2,2021-02-02T10:25:59.326Z
93,60192885f8a80c12afba9672,female,partofcourse,python,2,2,5,1,3,2021-02-02T10:26:42.778Z
94,601928dff8a80c12afba988d,male,partofcourse,python,4,4,2,2,3,2021-02-02T10:27:41.818Z
95,60192904f8a80c12afba994e,male,partofcourse,python,5,4,4,0,0,2021-02-02T10:28:15.179Z
96,601928eef8a80c12afba98e0,female,partofcourse,python,4,3,2,2,1,2021-02-02T10:28:15.853Z
97,6019291bf8a80c12afba99cf,female,partofcourse,python,5,3,2,1,1,2021-02-02T10:28:25.988Z
98,6019290ff8a80c12afba996f,female,curiosity,python,5,4,3,1,1,2021-02-02T10:30:44.37Z
99,60192a0cf8a80c12afbaa0b1,female,partofcourse,python,4,3,2,1,0,2021-02-02T10:32:29.745Z
100,60192a03f8a80c12afbaa059,male,project,python,4,4,3,0,4,2021-02-02T10:33:54.956Z
101,60192a78f8a80c12afbaa48e,female,partofcourse,python,5,1,4,1,1,2021-02-02T10:35:13.394Z
102,60193056f8a80c12afbad1c3,female,partofcourse,python,5,3,3,1,1,2021-02-02T10:59:37.984Z
